,Title,Relevant
0,"post covid-19, the answer is digital transformation, now whats the question?",1
1,"investing in the end-to-end value that 3d printing creates, not in the technology itself",1
2,best practices for managing remote customer support teams,1
3,real-time customer engagement and omnichannel personalization deliver a superior cx,1
4,lucro deploys small business lending app to speed covid-19 relief loans,1
5,2020 is the tech awakening cre has been waiting for - bisnow,1
6,life after the lockdown: it spending priorities now,1
7,gotcha mobility rolls out fleet of all-new e-bikes,1
8,vmblog expert interview: simon crosby talks continuous intelligence and swim continuum 4.0,1
9,robotic process automation leader uipath raises $225m in late-stage round,1
10,5 ways b2b ecommerce improves organizational efficiency,1
11,gigsmart get gigs aggregates all open work opportunities into one app,1
12,xilinx and spline.ai use ai to enable covid-19 detection at the edge,1
13,[in-depth] sena momentum evo review,1
14,"tactical haptics's newly created sabergrip will bring the physical in-hand experience of virtual fishing, sword fighting, and tool training one step closer to reality",1
15,constructing the future for engineering ì finding the right model where one size does not fit all,1
16,how organizations can build analytics agility,1
17,the oracle fusion cloud is the real deal and thats bad news for sap,1
18,how asana uses asana: managing a distributed¬†team,1
19,the coming digitization of enterprise software sales: four trends winning teams will embrace.,1
20,weyland tech's createapp deploys first mobile apps for small businesses in italy as country reopens - globenewswire,1
21,"pitching access management on the fly, los angeles-based britive raises $5.4 million",1
22,building engines and fastoffice form strategic partnership to bring virtual office tours to market,1
23,12 of the best software tools for working remotely (+ culture impacts),1
24,verizons cio is helping the telecom giant adapt swiftly to a contactless world,1
25,$11 billion navistars cio helps drive world class telematics for its customers,1
26,"todays cache | apples new macbook pro, google and apple ban location tracking in contact tracing apps, and more",1
27,"transformative ai, no-code, or low-code? the best approaches to deploying ai in your business",1
28,plant-based fried 'chicken' and a blockchain for turkeys: how agricultural giant cargill is innovating the global food-production industry and potentially changing what you eat along the way,1
29,how mops teams are staying agile as remote work becomes the norm,1
30,building from anywhere: inside the slack app virtual hackathon,1
31,7 technologies that are powering remote teams in 2020,1
32,todays pandemic shows why data visibility is essential to logistics,1
33,apricorn aegis secure key 3.0¶ your whole (data) life in your pocket,1
34,a 4-step process for recovering from business disruption - mit sloan news,1
35,"gear break: silca bag, fizik tape, wahoo, santini & rapha kit, muc-off pulleys",1
36,gmail for customer support? 10 best practices you need to know,1
37,nokia signals its technology virtue ì telecoms.com - telecoms.com,1
38,"lessons in manufacturing innovation, courtesy of food networks chopped",1
39,how coronavirus attacks the human body,1
40,"michigan coronavirus hospital patients got unneeded antibiotics, new study shows",1
41,where are the region's population clusters with the highest risk of developing covid-19 complications?,1
42,the pandemic pivot: it leaders innovate on the fly,1
43,world coronavirus dispatch: how singapore is waging a war with covid-19,1
44,"aquionics, berson & hanovia launch new uvc device for inactivation of sars-cov-2",1
45,i went to a job interview where theyre not taking covid seriously ¶ or how to make a scene when you need to make a scene,1
46,tangent works announces partnership and integration with qlik to deliver revolutionary predictive analytics and forecasting solution - instantml,1
47,why supply chain visibility is key to apac retailers,1
48,israel bought masses of low-grade gear to fight the coronavirus,1
49,"cdc first said not to wear masks, then to wear masks, then masks were better than vaccines ì now new evidence shows masks dont work",1
50,quack dr. robert redfield now says facemasks are more effective than a vaccine against coronavirus (video),1
51,"apple to keep intel at arm's length: macos shifts from x86 to homegrown common cpu arch, run ios apps, too",1
52,"why airlines are using diplomacy, not threats, to enforce mask rules on planes",1
53,responding to crises with speed and agility,1
54,oracle brandvoice: building low-code apps fast in a crisis: 3 pieces of advice,1
55,fio bolsters taiwan's anti-coronavirus medical volunteer system,1
56,children may play a larger role in transmission than once believed,1
57,remote research during the covid-19 crisis,1
58,sans dfir summit 2020 recap,1
59,"20 ai, data science, machine learning terms you need to know in 2020 (part 2)",1
60,the man betting $1 billion that pfizer can deliver a vaccine by this fall,1
61,mrna vaccine playlist,1
62,researchers use theta for real-time analysis of covid-19 proteins,1
63,authoritative covid-19 information and not violating patient rightsîcan we do both?,1
64,blood clots leave clinicians with clues about covid-19 - but no proven treatments,1
65,sap brandvoice: how covid-19 exposed weaknesses in the global supply chain,1
66,"stable, mending patients become critically ill with little warning. doctors aren't sure why... 'second-week crash'",1
67,why fast enterprise planning is more important than ever,1
68,"if life gives you coronavirus, make face shields: doing good by doing good",1
69,"98point6's $118m series e for test-based primary care, savana's $15m series b for free-text extraction and more digital health fundings",1
70,telus health exchange: evolving care delivery through collaborative action and efficient communication,1
71,this machine-learning upstart trained software to snare online drug dealers. now it's going after fake coronavirus test equipment peddlers,1
72,the collaboration quotient (cq): why working and communicating across functions is a strategic imperative for all businesses,1
73,an operating model for the next normal: lessons from agile organizations in the crisis,1
74,restore and reimagine: digital and analytics imperatives for insurers,1
75,zyfra to offer indian firms digital solutions to reduce covid risk - indiapost.com,1
76,svg tech insight: remote content creation in the age of covid-19 - sports video group,1
77,avenu and safebuilt team-up to help government customers recover from covid-19 economic impact,1
78,apple and google partner on covid-19 contact tracing technology,1
79,privacy-preserving contact tracing,1
80,retail operations models could streamline covid-19 logistics,1
81,technology for cloud efficiency for databases during data-intensive covid-19 pandemic,1
82,covid-19 and teletherapy may be changing how much you know about your therapist,1
83,jack ma teams up with columbia university to find cure for covid-19,1
84,"touch less, do more challenge winners announced!",1
85,white house touts billions in coronavirus grants for innovators - fox business,1
86,coronavirus: indian-origin researcher arinjay banerjee among scientists who isolated covid-19 - livemint,1
87,technology aims to provide cloud efficiency for databases during data-intensive covid-19 pandemic - purdue news service,1
88,vtex raises $225m at a $1.7b valuation for e-commerce solutions aimed at retailers and brands,1
89,apple and google partner on covid-19 contact tracing technology,1
90,"fast-tracking covid-19 diagnostic, therapeutic solutions",1
91,print your own covid-19 mask at home with germain verbrackels simple template,1
92,the navajo nation addresses its residents with plus codes,1
93,mit and covid-19,1
94,govt to positively consider demands of health dept. staff,1
95,caregility and oneview healthcare partner to deliver inpatient telehealth in the us and australia,1
96,swiss american cdmo recognized on 2020 inc. 5000 list of fastest-growing private companies in america,1
97,4 rules to stop governments misusing covid-19 tech after the crisis - world economic forum,1
98,the current crisis demands more external communication,1
99,pmo ropes in tech leaders to develop solutions to deal with coronavirus crisis - yourstory,1
100,"uks national health service launches ¬£500,000 covid19 tech competition",1
101,"medable allies with mrn to support new remote care capabilities globally, critical for decentralized clinical trials and continued clinical research progress during covid-19",1
102,kain capital completes investment in mdland,1
103,"recently launched talent marketplace, talimer, focuses on tech freelance workers",1
104,"nihon kohden launches video laryngoscope in us to help clinicians quickly, safely intubate patients suffering from covid-19 or other critical conditions",1
105,biocon subsidiary receives nod to use cytosorb in covid-19 treatment,1
